year,sex,p50,se,lci,uci
2003,f,67.2361,0.995537,65.3087,69.4045
2003,m,62.6256,1.34642,59.7043,65.2594
2004,f,71.0199,1.1598,68.8734,73.1006
2004,m,65.232,0.796096,63.6249,66.705
2005,f,73.1116,1.10267,71.4853,75.6277
2005,m,69.0568,1.03506,66.8611,70.4942
2006,f,75.0281,1.16999,71.9562,76.7036
2006,m,68.4572,0.964449,66.4559,70.308
2007,f,77.1225,1.03976,75.4278,79.3101
2007,m,71.4579,0.875991,70.037,73.399
2008,f,75.2909,1.37227,73.2923,78.3573
2008,m,69.7057,1.00603,67.2088,71.1239
2009,f,75.7043,0.935826,73.9576,77.3826
2009,m,70.3682,0.802721,68.8789,71.5373
2010,f,74.5298,1.04724,72.961,76.1232
2010,m,71.8932,0.89743,70.0068,73.8645
2011,f,77.1225,1.05702,74.8419,79.3429
2011,m,72.3833,0.994068,70.8884,74.4367
2012,f,76.3751,0.852369,74.2916,77.9439
2012,m,69.8727,0.684306,68.23,70.9569
2013,f,80.4298,1.16554,77.4565,82.3463
2013,m,69.3744,1.0703,67.499,72.0356
2014,f,78.1218,1.19559,76.8706,81.5058
2014,m,70.4969,0.867243,68.8706,72.6324
2015,f,78.1218,1.04721,76.1697,80.1259
2015,m,70.5407,0.863148,68.2574,72.334
2016,f,80.2355,0.910191,78.4148,82.0507
2016,m,71.8467,0.60481,70.6256,72.961
2017,f,78.1246,1.01107,76.5038,80.7009
2017,m,72.6516,0.875459,69.974,73.7714
2018,f,80.2628,0.782128,78.3737,81.7878
2018,m,73.7166,0.972917,71.8741,75.8604
